Date,Close Price,SMA,RSI,MACD Line,Signal Line,MACD Histogram
06/25/2024,208.61,215.922,17.3278,-2.71594,214.228,-216.944
06/24/2024,206.59,213.944,14.7231,-3.24163,212.701,-215.942
06/21/2024,207.11,212.33,17.9685,-3.57507,211.583,-215.158
06/20/2024,208.85,211.05,23.9692,-3.65676,211.036,-214.693
06/18/2024,213,210.447,25.505,-3.34804,211.429,-214.777
06/17/2024,212.72,210.209,27.6723,-3.09035,211.687,-214.777
06/14/2024,211.3,210.147,29.3038,-2.96652,211.61,-214.576
06/13/2024,211.6,210.277,31.7737,-2.81175,211.608,-214.419
06/12/2024,206.9,209.732,29.5447,-3.03339,210.666,-213.7
06/11/2024,193.63,208.031,22.4673,-4.23104,207.259,-211.49
06/10/2024,192.15,206.385,23.4916,-5.23922,204.237,-209.476
06/07/2024,194.14,205.14,28.5449,-5.81065,202.218,-208.028
06/06/2024,194.17,203.846,24.4949,-6.18974,200.608,-206.798
06/05/2024,194.87,202.448,27.2307,-6.36037,199.461,-205.821
06/04/2024,193.034,200.451,27.3843,-6.56801,198.175,-204.743
06/03/2024,192.52,198.431,28.6365,-6.69687,197.044,-203.741
05/31/2024,189.91,196.292,25.4426,-6.92971,195.617,-202.547
05/30/2024,190.63,194.195,23.2059,-6.97573,194.62,-201.596
05/29/2024,189.51,192.456,12.0762,-7.02164,193.598,-200.62
05/28/2024,189.1,192.003,12.0257,-7.01029,192.698,-199.709
05/24/2024,188.04,191.592,12.1667,-7.00604,191.767,-198.773
05/23/2024,186.625,190.841,10.7989,-7.03577,190.738,-197.774
05/22/2024,190.27,190.451,23.0032,-6.68812,190.645,-197.333
05/21/2024,190.92,190.056,42.5471,-6.28767,190.7,-196.987
05/20/2024,189.01,189.654,41.5638,-6.05464,190.362,-196.416
05/17/2024,189.18,189.32,35.2295,-5.78951,190.125,-195.915
05/16/2024,189.66,189.295,36.9205,-5.47751,190.032,-195.51
05/15/2024,187.37,188.969,30.0854,-5.35333,189.5,-194.853
05/14/2024,186.29,188.647,31.3434,-5.28118,188.858,-194.139
05/13/2024,184.62,188.199,29.4596,-5.29769,188.01,-193.308
05/10/2024,182.13,187.608,29.6446,-5.44889,186.834,-192.283
05/09/2024,182.11,187.156,26.8609,-5.50685,185.889,-191.396
05/08/2024,181.45,186.274,27.5492,-5.54215,185.002,-190.544
05/07/2024,181.32,185.314,27.9858,-5.51702,184.265,-189.782
05/06/2024,180.42,184.455,28.2409,-5.50626,183.496,-189.002
05/03/2024,182.66,183.803,39.1876,-5.25638,183.329,-188.585
05/02/2024,170.89,181.926,13.3792,-5.93963,180.841,-186.781
05/01/2024,169.11,180.1,10.4751,-6.54924,178.495,-185.044
04/30/2024,170,178.471,14.2268,-6.88123,176.796,-183.677
04/29/2024,173.1,177.319,22.7459,-6.81562,176.057,-182.872
04/26/2024,169.18,176.024,18.9131,-6.99925,174.681,-181.681
04/25/2024,168.151,174.628,19.6661,-7.14543,173.375,-180.521
04/24/2024,166.21,173.104,19.1457,-7.33338,171.942,-179.276
04/23/2024,164.92,171.464,19.3719,-7.49997,170.538,-178.038
04/22/2024,164.77,169.899,20.892,-7.55698,169.384,-176.941
04/19/2024,164.075,168.041,20.4296,-7.57097,168.322,-175.893
04/18/2024,166.55,167.607,26.9421,-7.29822,167.968,-175.266
04/17/2024,168,167.496,30.1963,-6.88568,167.974,-174.86
04/16/2024,168.27,167.323,31.5909,-6.46246,168.033,-174.496
04/15/2024,172.5,167.263,35.4816,-5.7198,168.927,-174.647
04/12/2024,174.21,167.766,56.6586,-4.93635,169.983,-174.92
04/11/2024,168.16,167.767,48.3733,-4.7489,169.619,-174.368
04/10/2024,167.11,167.857,45.0783,-4.63168,169.117,-173.749
04/09/2024,168.35,168.2,41.3636,-4.38814,168.964,-173.352
04/08/2024,168.24,168.546,48.016,-4.1561,168.819,-172.975
04/05/2024,168.95,169.034,51.7092,-3.8703,168.845,-172.715
